date,adj_close,close,high,low,open,volume
1980-03-17,1.813283205,3.291227102,3.344743013,3.291227102,3.291227102,41109.0
1980-03-18,1.820654392,3.304605961,3.35812211,3.304605961,3.304605961,9343.0
1980-03-20,1.820654392,3.304605961,3.35812211,3.304605961,3.304605961,10277.0
1980-03-21,1.8648808,3.384880066,3.438395977,3.384880066,3.384880066,8409.0
1980-03-24,1.872252226,3.398258924,3.451775074,3.398258924,3.398258924,2803.0
1980-03-25,1.857510209,3.371500969,3.425017118,3.371500969,3.398258924,27095.0
1980-03-26,1.857510209,3.371500969,3.425017118,3.371500969,3.371500969,1869.0
1980-03-27,1.835397005,3.331363916,3.384880066,3.331363916,3.371500969,14015.0
1980-03-28,1.828025699,3.317985058,3.371500969,3.317985058,3.331363916,36438.0
1980-03-31,1.828025699,3.317985058,3.371500969,3.317985058,3.317985058,1869.0
1980-04-01,1.7985425,3.264468908,3.317985058,3.264468908,3.317985058,2803.0
1980-04-02,1.783799887,3.237710953,3.291227102,3.237710953,3.264468908,6540.0
1980-04-07,1.783799887,3.237710953,3.291227102,3.237710953,3.237710953,934.0
1980-04-08,1.783799887,3.237710953,3.291227102,3.237710953,3.237710953,44846.0
1980-04-09,1.842767835,3.344743013,3.398258924,3.344743013,3.344743013,42044.0
1980-04-10,1.8648808,3.384880066,3.438395977,3.384880066,3.384880066,35503.0
1980-04-11,1.857510209,3.371500969,3.425017118,3.371500969,3.384880066,59795.0
1980-04-15,1.916478992,3.47853303,3.532048941,3.47853303,3.47853303,1869.0
1980-04-16,1.916478992,3.47853303,3.532048941,3.47853303,3.47853303,61664.0
1980-04-18,1.886994243,3.425017118,3.47853303,3.425017118,3.47853303,1869.0
1980-04-21,1.886994243,3.425017118,3.47853303,3.425017118,3.425017118,5606.0
1980-04-23,1.923849106,3.491911888,3.545428038,3.491911888,3.491911888,24292.0
1980-04-24,1.938591599,3.518670082,3.572185993,3.518670082,3.518670082,934.0
1980-04-25,1.953334451,3.545428038,3.598943949,3.545428038,3.545428038,9343.0
1980-04-28,1.975447655,3.58556509,3.639081001,3.58556509,3.58556509,2803.0
